id;model;number;description;passenger_places
1;Палау;paradigms;площадь;30907
2;Гранитный interactive;Ставропольский туризм Пластиковый;Свободный;98052
3;туризм;массив планировщик орхидный;серый;78870
4;Меховой техник резервное;основной;invoice USB пр.;17995
5;6th Курская;Центральный;кремовый deposit;24656
6;сжать;Face сжатие;Автомобиль access;85974
7;middleware Берет strategic;Электроника Маленький e-markets;Franc;62995
8;синтезировать операционный функциональный;Account руководитель COM;импортировать Кошелек;83002
9;садинструмент Centralized пр.;Компьютер;Versatile разработчик желтый;54840
10;Account;Market Пластиковый твердотельный;Стальной помощник;97704
