id;uuid;name;description
1;Районный Невероятный;Jordanian;Потрясающий schemas
2;De-engineered;Невероятный;Интеллектуальный
3;payment Лоснящийся payment;Стальной Свободный страховой;твердотельный
4;ПО оптический Account;Маленький Investment Cambridgeshire;models пр. золотой
5;Хлопковый Практичный;навигация invoice Северная;engage
6;zero;винчестер;обувь Лоснящийся
7;incremental;копирование;Коми Саха
8;оптический attitude;Bedfordshire Игрушки;Резиновый Украина visionary
9;Международный Savings мобильный;зеленый мобильный;global
10;Майка оператор;functionalities Australian черный;deposit
