id;uuid;planned_arrival;planned_departure;actual_arrival;actual_departure;time_registration;platform;rout_status;description
1;ул.;2021-06-15T17:05:49;2021-06-15T13:18:39;2021-06-15T20:36:54;2021-06-15T14:03:51;2021-06-16T02:59:01;Franc Лоснящийся;infrastructures Хлопковый пиксель;зашифровать серебряный страховой
2;логистический;2021-06-15T15:58:27;2021-06-15T15:03:15;2021-06-15T18:20:27;2021-06-16T04:26:10;2021-06-16T12:02:47;plug-and-play агент;Money;User
3;Buckinghamshire approach;2021-06-15T23:50:27;2021-06-16T01:52:53;2021-06-15T19:56:20;2021-06-16T11:36:34;2021-06-16T06:44:39;Международный;Adaptive менеджер;Эстония
4;task-force ул.;2021-06-15T16:39:29;2021-06-16T00:57:07;2021-06-15T23:25:59;2021-06-15T19:17:57;2021-06-16T06:37:40;Markets промышленное Dollar;sticky Account;Республика web-enabled логистический
5;CSS резервное multi-state;2021-06-16T08:11:20;2021-06-15T19:18:02;2021-06-16T10:10:40;2021-06-16T11:01:37;2021-06-15T13:58:55;интеграционный;копировать even-keeled improvement;Казахстан архивирование Extended
6;Неодимовый Гранитный онлайн;2021-06-16T07:03:24;2021-06-15T13:40:52;2021-06-16T06:03:57;2021-06-16T03:18:14;2021-06-16T02:16:05;Savings Марокко;ул.;Вологодская пл.
7;Сабо secondary;2021-06-16T04:42:03;2021-06-15T19:58:18;2021-06-16T02:29:04;2021-06-16T06:03:16;2021-06-16T01:40:00;здоровье;efficient;Account
8;deliverables внутренний синий;2021-06-15T22:10:42;2021-06-16T02:33:03;2021-06-15T18:25:47;2021-06-16T09:45:07;2021-06-16T01:53:14;SDR;Меховой маркетинговый;разбор
9;аналитик;2021-06-15T20:09:54;2021-06-16T07:07:32;2021-06-16T07:06:34;2021-06-15T17:59:54;2021-06-15T20:50:17;neutral;Bedfordshire invoice;Triple-buffered HTTP
10;оранжевый;2021-06-16T08:04:42;2021-06-16T08:37:05;2021-06-15T20:23:53;2021-06-16T00:49:16;2021-06-15T17:03:29;Dominican администратор Object-based;Папуа;функциональный Ангола Носки
