id;uuid;name;description;okato;street;longitude;latitude;distance
1;bifurcated withdrawal Гранитный;CSS область менеджер;Ножницы relationships CSS;2346;Calista пр.;19820;5284;80123
2;Integrated Книги;Неодимовый Резиновый Ведущий;1080-пиксельный координатор;88974;Новикова улица;28771;79873;31425
3;Великолепный Robust;Портмоне протокол deposit;Генеральный capability генерация;34790;Колесникова ул.;1742;36105;5352
4;Сербия;продукт обойти;импортировать Cambridgeshire Районный;12790;Reymundo пл.;18235;34363;18754
5;Свердловская;сенсорный Неодимовый;желто-коричневый;80181;Gene пл.;54772;45254;50461
6;Электроника Пензенская вспомогательный;deposit Buckinghamshire;ОЗУ Dalasi вычисление;78887;Wayne ул.;72086;4751;56170
7;зашифровать Account Digitized;Смоленская Грубый;disintermediate менеджер красно-пурпурный;20735;Darron улица;26301;5837;51880
8;encryption сокет;коммуникационный Глобальный;копировать логистический target;88044;Сидорова проспект;97326;6054;30985
9;код Бетонный architectures;Натуральный withdrawal;Свободный Пластиковый local;4199;Eldora площадь;5168;68235;61595
10;XSS округ Cambridgeshire;внутренний техник;Конго Cambridgeshire Потрясающий;1108;Иванов проспект;68576;47846;40989
