id;uuid;place;serial;number;type;date_departure;price
1;out-of-the-box красота COM;23606;70639;87155;Эргономичный;2021-06-15;41034
2;Австралия Еврейская функциональный;21476;9207;81525;Borders Norwegian;2021-06-16;36297
3;interfaces Expanded;63283;97299;40979;Сабо;2021-06-16;30246
4;Районный оптимизационный;62949;17226;2149;музыка Хлопковый;2021-06-15;37834
5;archive;18534;72226;3358;Компьютер Investment распарсить;2021-06-16;59137
6;Zloty deposit;80091;23033;9217;кросс-платформенный ROI deposit;2021-06-16;91637
7;Автомобильное Берет пл.;50766;47971;41639;Card deposit;2021-06-16;61187
8;архитектор 24/365 Account;89855;61679;43442;твердотельный Checking group;2021-06-16;4348
9;логистический;27632;10133;86327;коммуникационный детское;2021-06-16;16096
10;Главный нейронный Практичный;10462;85641;48631;payment Стальной Центральный;2021-06-16;92489
